date,open,high,close,low,volume,p_change,最近N1个交易日最高价,最近N2个交易日最低价,当天的仓位,net,capital_index,策略每日涨跌幅
2015-09-01,30.51,30.98,28.76,28.76,113480.33,-9.98,56.8,28.71,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-02,25.88,30.47,25.88,25.88,223399.78,-10.01,56.8,25.88,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-07,26.47,28.47,27.69,26.47,239720.52,6.99,56.8,25.88,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-08,27.0,30.46,30.46,25.77,237004.98,10.0,56.8,25.77,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-09,31.0,33.51,32.96,30.76,369828.88,8.21,56.8,25.77,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-10,31.8,33.6,32.48,31.61,210053.2,-1.46,56.8,25.77,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-11,32.75,33.84,32.98,31.68,237340.89,1.54,56.8,25.77,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-14,32.78,33.0,29.68,29.68,162307.78,-10.01,56.8,25.77,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-15,26.74,27.85,26.71,26.71,169417.11,-10.01,56.8,25.77,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-16,27.0,29.38,29.38,25.68,275775.91,10.0,56.8,25.68,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-17,29.5,31.6,28.69,28.6,295480.81,-2.35,51.69,25.68,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-18,28.73,29.75,29.21,27.31,201681.47,1.81,51.69,25.68,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-21,28.0,32.13,32.13,27.72,339521.78,10.0,47.0,25.68,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-22,32.8,34.55,33.09,31.11,409343.12,2.99,42.0,25.68,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-23,32.21,35.47,34.2,32.21,358452.81,3.35,35.79,25.68,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-24,34.73,35.8,33.78,33.5,318722.91,-1.23,35.8,25.68,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-25,33.6,34.1,30.45,30.4,286312.12,-9.86,35.8,25.68,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-28,30.7,33.01,32.9,30.4,218263.12,8.05,35.8,25.68,0.0,0.9822447527594714,66.79264318764405,0.0
2015-09-29,31.4,32.67,31.4,30.7,188814.03,-4.56,35.8,25.68,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-09-30,31.53,31.95,30.46,28.99,176286.81,-2.99,35.8,27.31,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-10-07,30.94,31.77,30.51,30.51,5639.84,0.16,35.8,27.31,0.0,0.9822447527594714,66.79264318764405,0.0
2015-10-08,32.3,33.51,33.51,32.0,105600.19,10.01,35.8,27.72,0.0,0.9822447527594714,66.79264318764405,0.0
2015-10-09,34.97,35.49,35.15,34.01,373225.84,4.89,35.8,28.99,0.0,0.9822447527594714,66.79264318764405,0.0
2015-10-12,35.34,38.67,38.67,35.02,415636.28,10.01,38.67,28.99,0.0,0.9822447527594714,66.79264318764405,0.0
2015-10-13,38.48,39.97,39.5,38.0,342271.84,2.15,39.97,28.99,1.0,1.0033630149438002,68.2286850161784,2.15
2015-10-14,38.8,41.14,40.13,37.88,305136.19,1.59,41.14,28.99,1.0,1.0193164868814066,69.31352110793564,1.59
2015-11-02,44.14,44.14,44.14,44.14,10709.11,9.99,44.14,28.99,1.0,1.1211462039208593,76.23794186661841,9.99
2015-11-03,46.0,47.2,43.04,43.0,441026.41,-2.49,47.2,28.99,1.0,1.09322966344323,74.33961711413961,-2.49
2015-11-04,42.0,47.34,47.34,42.0,364241.12,9.99,47.34,28.99,1.0,1.2024433068212086,81.76614486384217,9.99
2015-11-05,49.0,52.07,52.07,48.05,431982.75,9.99,52.07,30.51,1.0,1.3225673931726474,89.93458273574001,9.99
2015-11-06,53.0,57.28,57.28,53.0,367142.81,10.01,57.28,32.0,1.0,1.4549563892292294,98.93703446758758,10.01
2015-11-09,57.28,59.88,57.3,53.81,425566.34,0.04,59.88,34.01,1.0,1.455538371784921,98.9766092813746,0.04
2015-11-10,56.3,60.8,57.17,55.85,314564.12,-0.23,60.8,35.02,1.0,1.4521906335298158,98.74896308002745,-0.23
2015-11-11,57.17,57.8,57.19,55.03,261313.52,0.04,60.8,37.88,1.0,1.4527715097832277,98.78846266525946,0.04
2015-11-12,58.6,59.6,56.0,55.0,256152.81,-2.08,60.8,37.88,1.0,1.4225538623797365,96.73366264182206,-2.08
2015-11-13,54.44,55.18,53.15,52.23,211186.47,-5.09,60.8,42.0,1.0,1.350145870784608,91.80991921335333,-5.09
2015-11-16,50.08,53.09,52.57,49.06,320950.31,-1.09,60.8,42.0,1.0,1.3354292807930557,90.80919109392777,-1.09
2015-11-17,53.92,54.3,49.5,49.2,298530.72,-5.84,60.8,42.0,1.0,1.257440210794741,85.50593433404238,-5.84
2015-11-18,49.82,52.49,50.25,49.11,264142.88,1.51,60.8,48.05,1.0,1.2764275579777415,86.7970739424864,1.51
2015-11-19,51.0,55.28,55.28,49.5,408351.19,10.01,60.8,49.06,1.0,1.4041979565313136,95.48546104412931,10.01
2015-11-20,55.33,59.99,57.12,54.3,464106.03,3.33,60.8,49.06,1.0,1.4509577484838065,98.66512689689883,3.33
2015-11-23,56.29,56.68,52.35,51.8,305521.44,-8.35,60.8,49.06,1.0,1.3298027764854086,90.42658880100777,-8.35
2015-11-24,51.92,54.66,54.01,51.5,192697.44,3.17,60.8,49.06,1.0,1.3719575244999962,93.29311166599972,3.17
2015-11-25,53.4,59.41,59.41,53.01,436945.34,10.0,60.8,49.06,1.0,1.509153276949996,102.62242283259971,10.0
2015-11-26,60.26,63.59,59.49,59.04,577155.25,0.14,63.59,49.06,1.0,1.511266091537726,102.76609422456535,0.14
2015-11-27,57.97,60.91,55.93,54.0,345198.19,-5.98,63.59,49.06,1.0,1.42089237926377,96.62068178993634,-5.98
2015-11-30,55.0,56.93,54.5,50.4,317940.56,-2.56,63.59,49.11,1.0,1.3845175343546174,94.14719233611396,-2.56
2015-12-01,53.49,59.6,58.0,52.4,365197.56,6.42,63.59,49.11,1.0,1.473403560060184,100.19144208409249,6.42
